%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1736305606369091964,0.0,0.0,0.0,0.0,0.0,-2.0
1736305607166405991,2.0,0.0,0.0,0.0,0.0,0.0
1736305608403174132,0.0,0.0,0.0,0.0,0.0,-2.0
1736305609326163032,2.0,0.0,0.0,0.0,0.0,0.0
1736305610197045166,0.0,0.0,0.0,0.0,0.0,-2.0
1736305610733465925,2.0,0.0,0.0,0.0,0.0,0.0
1736305611813174485,0.0,0.0,0.0,0.0,0.0,-2.0
1736305612209004642,2.0,0.0,0.0,0.0,0.0,0.0
1736305613140264615,0.0,0.0,0.0,0.0,0.0,-2.0
1736305613556648117,2.0,0.0,0.0,0.0,0.0,0.0
1736305614344342799,0.0,0.0,0.0,0.0,0.0,-2.0
1736305614717405058,2.0,0.0,0.0,0.0,0.0,0.0
1736305615154686555,0.0,0.0,0.0,0.0,0.0,-2.0
1736305615446084214,2.0,0.0,0.0,0.0,0.0,0.0
